"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","13-Nov-2017","       2708.75","       2702.05","       2777.40","       2702.05","       2756.55","       2758.95","       2757.27","     748498","          2063808990.25","      44504","     379983","         50.77"
"TCS","EQ","14-Nov-2017","       2758.95","       2756.55","       2756.55","       2707.50","       2710.00","       2714.60","       2718.61","     828626","          2252715046.95","      50733","     554011","         66.86"
"TCS","EQ","15-Nov-2017","       2714.60","       2706.00","       2755.00","       2701.35","       2710.00","       2705.30","       2736.73","    3335417","          9128129058.75","      47448","    2841173","         85.18"
"TCS","EQ","16-Nov-2017","       2705.30","       2710.00","       2763.00","       2686.95","       2739.90","       2746.65","       2734.00","     826741","          2260313403.15","      45075","     380359","         46.01"
"TCS","EQ","17-Nov-2017","       2746.65","       2748.10","       2748.10","       2703.60","       2708.20","       2707.30","       2719.89","     662732","          1802558457.20","      34043","     411909","         62.15"
"TCS","EQ","20-Nov-2017","       2707.30","       2715.00","       2726.90","       2695.30","       2697.90","       2703.45","       2709.98","     507249","          1374632868.45","      27013","     360469","         71.06"
"TCS","EQ","21-Nov-2017","       2703.45","       2701.00","       2701.00","       2666.00","       2670.25","       2672.95","       2678.52","     763870","          2046044818.55","      38552","     527247","         69.02"
"TCS","EQ","22-Nov-2017","       2672.95","       2673.00","       2709.70","       2672.40","       2681.40","       2680.65","       2690.88","     911312","          2452235277.45","      67085","     612065","         67.16"
"TCS","EQ","23-Nov-2017","       2680.65","       2681.00","       2693.00","       2669.00","       2676.55","       2681.25","       2684.25","     396735","          1064937717.75","      31522","     189438","         47.75"
"TCS","EQ","24-Nov-2017","       2681.25","       2682.00","       2702.90","       2673.10","       2688.20","       2688.05","       2688.26","    1143756","          3074710398.85","      47991","     936777","         81.90"
"TCS","EQ","27-Nov-2017","       2688.05","       2688.00","       2695.90","       2662.20","       2683.05","       2685.85","       2678.65","     928393","          2486839610.35","      40042","     725134","         78.11"
"TCS","EQ","28-Nov-2017","       2685.85","       2686.00","       2702.40","       2670.00","       2681.05","       2685.30","       2679.22","     455858","          1221342323.80","      29742","     298928","         65.57"
"TCS","EQ","29-Nov-2017","       2685.30","       2677.50","       2693.00","       2650.00","       2653.65","       2658.15","       2674.70","     723766","          1935855717.70","      41795","     531968","         73.50"
"TCS","EQ","30-Nov-2017","       2658.15","       2653.65","       2666.95","       2623.00","       2635.00","       2637.00","       2641.37","    2149981","          5678900013.45","      86807","    1464976","         68.14"
